state,city,povertyRate,perWhite,perBlack,perNativeAm,perAsian,perHis,perCompHighSchool,medIncome
AL,Enterprise city,16.3,69.4,20.7,0.5,2,8.8,89.2,54450
AL,Epes town,24.8,8.9,91.1,0,0,0,81.6,25000
AL,Ethelsville town,32.3,74.1,25.9,0,0,0,80.6,40417
AL,Eufaula city,25.3,51,44.6,0.5,0.6,4.3,81.5,32845
AL,Eunola CDP,0,91.4,7.4,0,0.4,1.6,96.1,42023
AL,Eutaw town,32.7,18.1,80.2,0.1,0.4,1.3,73.2,22377
AL,Eva town,11.1,96.3,0,0.4,0.2,0.4,91.2,39868
AL,Evergreen city,52.6,34.8,62.4,0.2,0.2,2.3,79.2,18661
AL,Excel town,18.6,91.1,5,1.4,0,0.7,86,34375
AL,Fairfield city,23.4,4.2,94.6,0,0,1.1,88.9,34890
AL,Fairford CDP,0,61.3,17.7,19.9,0,0,57.6,32269
AL,Fairhope city,11.2,91.1,6.2,0.2,0.7,2.8,95.4,61489
AL,Fairview town,24,95.5,0.2,0,0.4,11.2,82,37750
AL,Falkville town,26,92.1,3.4,1.1,0.1,2.2,65.1,33846
AL,Faunsdale town,30.2,67.3,32.7,0,0,0,85.7,20625
AL,Fayette city,25.9,73.4,24.3,0.3,0.3,1.4,79.1,30646
AL,Fayetteville CDP,15.3,97.2,1.3,0.3,0,0.3,68.5,34632
AL,Fitzpatrick CDP,15.5,78.3,21.7,0,0,2.4,60.7, 
AL,Five Points town,20.4,46.8,52.5,0,0,0,61.9,45000
AL,Flomaton town,30.2,69.5,27.2,1.6,0.1,2.3,77.3,24406
AL,Florala town,30.1,80.1,15.8,0.8,0.4,2.8,79.6,25673
AL,Florence city,24.6,75,19.4,0.4,1.4,3.6,84.4,35731
AL,Foley city,18.9,77.1,14.9,0.6,1.1,9.5,91.5,40938
AL,Forestdale CDP,17,26.2,71.4,0.2,0.2,1.4,93.5,48654
AL,Forkland town,48.1,11.9,87.4,0.2,0,0.8,74.1,19063
AL,Fort Deposit town,30.2,23.7,75.5,0.1,0.1,0.4,70.5,23963
AL,Fort Payne city,19,77.6,4.2,0.9,0.8,20.9,67.7,38833
AL,Fort Rucker CDP,8,77.7,11.9,0.8,1.3,13.2,98.8,59265
AL,Franklin town,6.6,47.7,49.7,0,1.3,0,85,60417
AL,Fredonia CDP,18.4,87.9,11.6,0,0,0,88.6,66591
AL,Frisco City town,31.3,45.4,49.3,1.3,0,1.8,77.3,17311
AL,Fruitdale CDP,33,70.3,28.6,0,0,1.6,93.3,63125
AL,Fruithurst town,13.5,98.2,0,1.1,0.4,0,75.8,35625
AL,Fulton town,19.9,84.9,11,0,0.7,3.3,76,32083
AL,Fultondale city,14,75.1,16.6,0.4,1,10.8,85.1,51587
AL,Fyffe town,12.8,94,0.3,1.5,0.7,1.3,83.7,42356
AL,Gadsden city,29.4,57.3,36.3,0.4,0.6,5.4,78.3,29136
AL,Gainesville town,40.9,16.3,82.2,0,0,0,76.7,14444
AL,Gallant CDP,3.9,96.7,0.2,0.6,0,1.6,83.7,45859
AL,Gantt town,8.3,77,23,0,0,0,85.6,47000
AL,Garden City town,19.3,98.2,0.2,0.4,0,0.4,79.8,31591
AL,Gardendale city,7.8,88.4,8.6,0.3,1.2,1.5,92.2,56132
AL,Gaylesville town,19.3,96.5,0,0,0,3.5,78.4,26818
AL,Geiger town,19.5,26.5,73.5,0,0,2.9,71.3,45125
AL,Geneva city,30.3,83.2,14,0.4,0.4,1.8,78.1,29912
AL,Georgiana town,35.5,33.1,65.4,0.3,0.1,0.3,71.1,19969
AL,Geraldine town,13.8,93.5,0.3,3.7,0,2,84.2,42292
AL,Gilbertown town,21.5,77.2,21.9,0,0.5,0,83.8,33750
AL,Glen Allen town,21.4,89.4,9.4,0.2,0.2,0.2,76.5,24531
AL,Glencoe city,11.1,96.5,1.3,0.3,0.5,0.8,86.6,46691
AL,Glenwood town,13.6,70.1,29.9,0,0,0,84.8,36000
AL,Goldville town,9.3,100,0,0,0,5.5,86.7,46250
AL,Good Hope town,15.2,92.7,0.3,0.4,0.5,7.7,86.5,47754
AL,Goodwater town,32.2,24.3,73.7,0.7,0,0.7,71.6,23809
AL,Gordo town,26.3,58.9,37.8,0.2,0.2,1.5,80.4,30781
AL,Gordon town,26.9,21.4,76.5,0.3,0,1.5,66.8,22250
AL,Gordonville town,39.2,5.2,94.8,0,0,0,76.1,18224
AL,Goshen town,31.9,76.7,22.6,0.4,0,0,71.2,40132
AL,Graham CDP,4.5,83.9,16.1,0,0,0,74,41914
AL,Grand Bay CDP,6.4,86.9,9.4,0.6,0.7,2.3,84.6,48767
AL,Grant town,7.2,98.1,0,0,0.4,1.3,89.2,55000
AL,Grayson Valley CDP,8.9,70.6,25.8,0.3,0.9,2.2,90.4,46250
AL,Graysville city,17.4,73.9,23.6,0.4,0.2,1.7,79.8,41282
AL,Greensboro city,39.3,32,66.5,0.2,0.8,0.5,75,21797
AL,Greenville city,25.8,41.7,55.5,0,1.8,1.3,78.4,29741
AL,Grimes town,19.1,55.9,36.7,0,0,2.9,84.5,31579
AL,Grove Hill town,26.1,56.6,41.3,0.3,0.3,2,85.8,31786
AL,Guin city,37.5,86.9,10.9,0,0.1,1.3,75.4,23000
AL,Gulfcrest CDP,0,88.2,3.1,5.6,0,1.2,87.2,68462
AL,Gulf Shores city,16.6,93.4,1.5,0.5,0.9,4,92.9,47662
AL,Guntersville city,16.2,85.8,7.8,0.5,1.5,3.8,83.1,39756
AL,Gurley town,30.8,76.3,17.1,1.7,1.2,3.5,74.5,32500
AL,Gu-Win town,12,85.8,5.1,4,0,4,87.2,39000
AL,Hackleburg town,25.7,97.7,0.1,0.2,0,1.3,76.5,28819
AL,Hackneyville CDP,17.8,97.7,0.9,0.3,1.2,0.3,95.1,60474
AL,Haleburg town,8.3,94.2,4.9,0,0,0,80,54167
AL,Haleyville city,26.8,92.1,0.7,1,0.5,6,70.7,24291
AL,Hamilton city,18.5,89.3,7.7,0.4,0.2,3.1,82.7,33053
AL,Hammondville town,8,90,0.8,0.2,0.6,6.8,74.5,43281
AL,Hanceville city,25.8,92.4,3.6,0.2,0.7,2.4,77.7,29231
AL,Harpersville town,18.8,73.1,23.5,0.3,0.7,2.6,80.7,35972
AL,Hartford city,36.7,77.9,17.9,0.6,0.1,3.1,70.6,22094
AL,Hartselle city,6.9,91.5,4.3,0.8,0.4,2.5,91.9,53878
AL,Harvest CDP,5.5,62.2,31.7,0.5,1.2,3.1,90.6,63708
AL,Hatton CDP,0,89.7,0,7.3,0,0,83.2, 
AL,Hayden town,7.9,87.6,8.8,0.7,0.2,0,83.4,50795
AL,Hayneville town,44.4,15,84.5,0,0,0.1,72.1,18802
AL,Hazel Green CDP,14.9,88.9,5.9,1.5,0.4,2.3,88.2,41938
AL,Headland city,13.1,70.1,27.5,0.4,0.3,1.4,88.1,51822
AL,Heath town,32.5,88.6,10.6,0,0,1.2,80.3,38333
AL,Heflin city,22.6,87.3,9.4,0.5,0.1,2.4,74.3,25823
AL,Helena city,2.1,82.5,13.1,0.2,1.5,3.3,97.7,84615
AL,Henagar city,19.4,96.2,0,1.8,0,1.4,71.7,30757
AL,Highland Lake town,9.2,98.8,0,1,0.2,0.7,94.3,51250
AL,Highland Lakes CDP,2,87.6,7.6,0.2,2.3,1.6,97.6,124291
AL,Hillsboro town,17.6,14.1,80.1,1.8,0.2,1.6,74.6,34712
AL,Hissop CDP,23.2,25.1,74.3,0,0.2,2,73.8,25032
AL,Hobson CDP,0,99.2,0,0,0,0,63.6, 
AL,Hobson City town,41.3,12.6,85.9,0,0.4,1.3,77.3,25563
AL,Hodges town,26.9,98.6,0,1.4,0,1,69.3,29583
AL,Hokes Bluff city,13.7,98.5,0.3,0.1,0.4,0.2,89.2,46042
AL,Hollins CDP,24.4,89.4,7.7,0.6,0,0.7,68.2, 
AL,Hollis Crossroads CDP,29,86,5.4,0.3,0,8.4,71.4,34408
AL,Holly Pond town,19,98.5,0.3,0.4,0,1.4,90.4,44750
AL,Hollywood town,20.3,75.8,14.8,1.7,0.3,4.9,71.3,29306
AL,Holt CDP,46.4,39.4,55.2,0.4,0.2,7.2,75,30446
AL,Holtville CDP,11.1,90.4,7.4,0.5,0.2,1.3,85.6,52713
AL,Homewood city,12.7,74.6,17.3,0.2,2.2,7.3,93.5,61626
AL,Hoover city,6,75.1,14.8,0.2,5.1,6,95.2,77146
AL,Horn Hill town,10.2,91.7,1.3,3.9,0,3.1,66.3,34464
AL,Hueytown city,14.3,70,27.2,0.3,0.5,2,86.5,42172
AL,Huguley CDP,16.3,73,25,0.6,0.2,1.2,79.3,42063
AL,Huntsville city,18.2,60.3,31.2,0.6,2.4,5.8,90.2,48775
AL,Hurtsboro town,46,29.1,69.6,0.5,0,2.2,75.3,19732
AL,Hytop town,14.7,91.5,0.3,4.5,0,3.4,70.6,38542
AL,Ider town,15.4,93.2,0.6,4,0,0.1,80.5,32692
AL,Indian Springs Village city,4.4,95.7,1.5,0.2,1.9,0.9,97.2,96346
AL,Irondale city,20.5,56.3,35.4,0.3,1.4,7.8,87.4,47351
AL,Ivalee CDP,0,96.1,1.6,0.5,0,1.4,77,50737
AL,Jackson city,24.7,54.9,42.9,0.7,0.4,1.4,85.8,31232
AL,Jacksons' Gap town,26.1,68.2,28.9,0.5,0.5,1.9,67.1,36719
AL,Jacksonville city,31.2,68.7,26.8,0.5,1.3,2.3,89,38903
AL,Jasper city,22.3,81.3,13.4,0.3,0.7,4.4,85.3,39695
AL,Jemison city,24.9,77.8,17.7,0.1,0.1,7,77.8,38500
AL,Joppa CDP,0,81.4,0.2,0.8,0,17.2,67.3,23672
AL,Kansas town,25.3,100,0,0,0,0,66.4,38542
AL,Kellyton town,29.8,68.2,19.8,0,0,11.5,71.3,29688
AL,Kennedy town,10.9,83.4,14.3,0,0.2,0.9,82.6,35054
AL,Killen town,17.7,94,3.2,0.3,0.5,2.4,87.1,55313
AL,Kimberly town,6.3,96.2,1.8,0.4,0.6,0.8,89.4,76771
AL,Kinsey town,16.2,49.9,46,0.3,0.1,4,75.9,37109
AL,Kinston town,30.2,95.6,0.2,2,0.6,0.9,69.5,23571
AL,Ladonia CDP,26,86.5,9.8,0.7,0.3,2.7,84.4,32713
AL,La Fayette city,24.8,29.3,68.8,0.1,0.4,1.9,69.7,25666
AL,Lakeview town,13.5,86.7,0,3.5,0,0,92.3,46250
AL,Lake View town,2.2,93.9,4.2,0.1,0.7,0.6,95.7,88594
AL,Lanett city,29.8,39.3,57.5,0.2,0.1,2.4,77.2,25220
AL,Langston town,24.6,94.4,1.1,0,0,0,85.1,31875
AL,Leeds city,15.4,78.7,14.3,0.4,0.6,6.6,87.2,52689
AL,Leesburg town,18,96.5,1.1,0,0,1.3,80.5,41397
AL,Leighton town,25.6,43.3,53.2,0.3,0.1,0.5,71.9,22500
AL,Leroy CDP,6.7,78.6,20.1,0.2,0,0.2,99.3,47365
AL,Lester town,16.1,99.1,0,0,0,0.9,89, 
AL,Level Plains town,11.1,75.3,12.4,0.5,1.5,11,91.3,65769
AL,Lexington town,21.3,98.4,0,0.5,0.1,0.8,87.1,35521
AL,Libertyville town,4.8,88.9,0.9,1.7,0,4.3,77.3,44286
AL,Lincoln city,12.7,73.3,23.4,0.5,0.4,1.9,87.5,55605
AL,Linden city,25.1,51.1,46.7,0.1,0.2,2,87.1,29722
AL,Lineville city,12.9,58.6,36.9,0.3,0.2,4.6,77.8,31472
AL,Lipscomb city,30.6,22,61,1.1,0,19.7,71,26163
AL,Lisman town,44.9,6.7,92.2,0,0,0.2,67.2,28750
AL,Littleville town,7.7,96.5,0.7,0.7,0.6,1.8,81.8,49107
AL,Livingston city,55.2,34.6,63.9,0.1,0.3,0.7,86,14426
AL,Loachapoka town,31.8,58.9,37.2,0,2.8,1.1,89.5,34688
AL,Lockhart town,14.9,72.7,25.2,0.2,0,1.4,82.2,36250
AL,Locust Fork town,14.2,97,0.6,0.8,0,2.4,81.9,57143
AL,Lookout Mountain CDP,14.9,95.9,2.3,0.4,0,1.2,82.3,51058
AL,Louisville town,11.8,49.3,44.1,0.8,0,7.9,65.7,34286
AL,Lowndesboro town,3.4,76.5,20.9,0,0,0.9,90.2,39375
AL,Loxley town,20,84.4,9.4,0.7,0.6,5.1,85.3,48000
AL,Luverne city,20.3,62.6,29.6,0.3,5.5,1.9,77.9,29844
AL,Lynn town,27.9,98,0,0.3,0,0.9,74.8,33452
AL,McDonald Chapel CDP,62.6,55.8,39.3,0,0.6,2.8,60.3,15588
AL,Macedonia CDP,4.2,8.9,91.1,0,0,0,81.4,
AL,McIntosh town,13.7,37,55.5,4.2,0.4,2.9,95.8,48625
AL,McKenzie town,22.5,67.7,29.8,0.4,0,0.4,75.5,31500
AL,McMullen town,40,10,60,0,0,30,40,
AL,Madison city,6.7,74,14.6,0.5,7,4.3,95.7,92960
AL,Madrid town,14.9,88.9,8.6,0.6,0.9,3.1,70.6,38750
AL,Magnolia Springs town,5.3,96.3,0.1,0.6,0.4,2.8,89.1,47614
AL,Malcolm CDP,63.7,40.1,57.2,0.5,0.5,0,90.1,
AL,Malvern town,19.8,91.2,4.8,0.7,0.1,4.8,74,37000
AL,Maplesville town,29.1,68.9,28.5,0.1,0,1.1,77.3,32788
AL,Marbury CDP,9.9,92.2,3.8,0.1,0,3.8,83.8,37672
AL,Margaret town,10.1,77.3,19.3,0.3,0.8,1.6,92.5,64789
AL,Marion city,33,34.3,64.1,0.2,0.6,1.9,81.4,31029
AL,Maytown town,9.2,89.4,9.6,0.3,0,0,88.4,43750
AL,Meadowbrook CDP,6.5,92.8,3.9,0.1,2.1,1.6,94,92193
AL,Megargel CDP,46.9,91.9,3.2,3.2,0,0,53.1,
AL,Memphis town,60.5,0,100,0,0,0,29.4,
AL,Mentone town,10.9,92.2,1.9,1.4,0,0.6,87.5,38750
AL,Meridianville CDP,15.4,76.3,18.5,0.7,1.7,2.7,86.6,68368
AL,Midfield city,20.1,16.4,81.6,0.1,0.2,1.4,90.2,39678
AL,Midland City town,31.5,70.4,23.3,0.5,0.4,4.1,79.3,27163
AL,Midway town,43.1,10.6,89,0,0,0.6,58.3,24514
AL,Mignon CDP,26,64.9,27.1,0.1,0.5,6.9,75.2,32452
AL,Millbrook city,11.6,74.2,21.6,0.4,0.8,2.8,91.3,58330
AL,Millerville CDP,8.8,91.7,7.6,0,0.7,0,70.7,24861
AL,Millport town,22.4,64.7,33.7,0.1,0,1,79.6,32443
AL,Millry town,26,60.4,37.9,0.5,0.2,0.4,86.1,37813
AL,Minor CDP,10.8,77.6,20.9,0.3,0,1.5,88.9,45000
AL,Mobile city,23.3,45,50.6,0.3,1.8,2.4,86.9,38776
AL,Monroeville city,36.7,42.1,55.7,0.3,0.3,0.8,82.3,30678
AL,Montevallo city,25.5,70.2,24.6,0.3,0.6,5.7,86.6,34760
AL,Montgomery city,24.1,37.3,56.6,0.2,2.2,3.9,85.5,42927
AL,Moody city,9.9,88.2,7.8,0.3,1.4,2.1,87.9,61049
AL,Moores Mill CDP,11.1,70.9,22.6,1.1,1.5,2.4,91,63911
AL,Mooresville town,0,94.3,5.7,0,0,0,83.1,99375
AL,Morris town,5.8,97.7,1,0.1,0.3,1.1,84.9,70043
AL,Morrison Crossroads CDP,9.5,92.7,2.3,0,0.5,5.5,93.8,21169
AL,Mosses town,55.8,1.5,97.9,0,0,1.8,60.4,15240
AL,Moulton city,24.3,78.2,13.1,4.1,0.4,1.6,79.2,28843
AL,Moundville town,18.7,56.2,40.4,0.7,0.7,1.8,77.3,39719
AL,Mountain Brook city,3,97.2,1,0.1,0.9,1,99.5,126534
