Geographic Area,City,percent_completed_hs,Median Income
AL,Valley Grande city,85.9,55134
AL,Valley Head town,75.7,30391
AL,Vance town,88,64432
AL,Vandiver CDP,75.9,47171
AL,Vernon city,81,30292
AL,Vestavia Hills city,97.3,84854
AL,Vina town,57.3,22500
AL,Vincent town,77.5,42692
AL,Vinegar Bend CDP,64.5,77083
AL,Vredenburgh town,73.5,
AL,Wadley town,73.9,25294
AL,Waldo town,75.8,32188
AL,Walnut Grove town,68.4,38846
AL,Warrior city,86.9,45396
AL,Waterloo town,73.6,39167
AL,Waverly town,74.1,55417
AL,Weaver city,83.9,44851
AL,Webb town,78,35375
AL,Wedowee town,70.1,26574
AL,Weogufka CDP,56.3,19792
AL,West Blocton town,79.9,36250
AL,West End-Cobb Town CDP,68.1,35233
AL,West Jefferson town,88.3,45938
AL,Westover town,85.2,58906
AL,West Point town,86.9,50329
AL,Wetumpka city,85,46190
AL,Whatley CDP,-,
AL,White Hall town,66.6,18462
AL,White Plains CDP,95.7,55781
AL,Whitesboro CDP,84.4,36736
AL,Wilsonville town,88,43456
AL,Wilton town,84.6,39750
AL,Winfield city,86.8,40654
AL,Woodland town,86.4,34205
AL,Woodstock town,89.5,54519
AL,Woodville town,77.7,34444
AL,Yellow Bluff town,62,16786
AL,York city,77.1,17399
AK,Adak city,93.4,78500
AK,Akhiok city,62.5,26250
AK,Akiachak CDP,76.7,38750
AK,Akiak city,81.3,42000
AK,Akutan city,73,24750
AK,Alakanuk city,65.4,32917
AK,Alatna CDP,100,
AK,Alcan Border CDP,100,
AK,Aleknagik city,84,41875
AK,Aleneva CDP,0,
AK,Allakaket city,72.9,26500
AK,Ambler city,78.7,42344
AK,Anaktuvuk Pass city,80.9,66250
AK,Anchorage municipality,93,78326
AK,Anchor Point CDP,93.8,51591
AK,Anderson city,98.6,87708
AK,Angoon city,86.7,32750
AK,Aniak city,83.8,60500
AK,Anvik city,94.2,26563
AK,Arctic Village CDP,75,26250
AK,Atka city,89.5,50625
AK,Atmautluak CDP,70.2,50625
AK,Atqasuk city,75.9,52500
AK,Attu Station CDP,100,
AK,Badger CDP,96.2,75917
AK,Barrow city,84.6,76902
AK,Bear Creek CDP,92.5,81458
AK,Beaver CDP,69.8,24000
AK,Beluga CDP,66.7,
AK,Bethel city,85.8,76135
AK,Bettles city,100,50000
AK,Big Delta CDP,97.6,65417
AK,Big Lake CDP,90.4,70988
AK,Birch Creek CDP,0,
AK,Brevig Mission city,78,32344
AK,Buckland city,86.2,60357
AK,Buffalo Soapstone CDP,90.4,68333
AK,Butte CDP,94.3,81875
AK,Cantwell CDP,95,56000
AK,Central CDP,82.2,
AK,Chalkyitsik CDP,88.7,29375
AK,Chase CDP,65.2,
AK,Chefornak city,74.3,55625
AK,Chena Ridge CDP,96.5,93532
AK,Chenega CDP,100,
AK,Chevak city,82.8,41136
AK,Chickaloon CDP,91.7,40893
AK,Chicken CDP,-,-
AK,Chignik city,100,96250
AK,Chignik Lagoon CDP,84,93438
AK,Chignik Lake CDP,68.2,45000
AK,Chiniak CDP,100,-
AK,Chisana CDP,-,-
AK,Chistochina CDP,80,(X)
AK,Chitina CDP,82.6,(X)
AK,Chuathbaluk city,92,43750
AK,Circle CDP,54.3,17125
AK,Clam Gulch CDP,84.3, 
AK,Clark's Point city,74.2,25833
AK,Coffman Cove city,91.9,41786
AK,Cohoe CDP,95,57228
AK,Cold Bay city,97.5,86250
AK,Coldfoot CDP,70, 
AK,College CDP,94.9,73812
AK,Cooper Landing CDP,95.3,64301
AK,Copper Center CDP,84.8,39063
AK,Cordova city,91.6,85833
AK,Covenant Life CDP,100,31875
AK,Craig city,89.3,63229
AK,Crooked Creek CDP,80.8,31250
AK,Crown Point CDP,100,56688
AK,Deering city,88,50000
AK,Delta Junction city,95.4,72500
AK,Deltana CDP,93.8,74457
AK,Diamond Ridge CDP,97,69375
AK,Dillingham city,93.6,66875
AK,Diomede city,63.6,16250
AK,Dot Lake CDP,-, 
AK,Dot Lake Village CDP,64.9,20625
AK,Dry Creek CDP,100, 
AK,Eagle city,90.7,33125
AK,Eagle Village CDP,82.4, 
AK,Edna Bay city,-, 
AK,Eek city,68.7,39063
AK,Egegik city,91.1,38125
AK,Eielson AFB CDP,96.6,53388
AK,Ekwok city,63.4,31875
AK,Elfin Cove CDP,100,106667
AK,Elim city,86.9,37188
AK,Emmonak city,83.9,44773
AK,Ester CDP,95,68163
AK,Eureka Roadhouse CDP,-, 
AK,Evansville CDP,78.6,23750
AK,Excursion Inlet CDP,86.7, 
AK,Fairbanks city,91.2,55229
AK,False Pass city,100,55625
AK,Farmers Loop CDP,98.9,100703
AK,Farm Loop CDP,92.4,82250
AK,Ferry CDP,100, 
AK,Fishhook CDP,94.5,86917
AK,Flat CDP,-, 
AK,Fort Greely CDP,100, 
AK,Fort Yukon city,77.1,39583
AK,Four Mile Road CDP,50, 
AK,Fox CDP,100,76563
AK,Fox River CDP,37.9,57083
AK,Fritz Creek CDP,92.7,61875
AK,Funny River CDP,94.3,59314
AK,Gakona CDP,92.9,80625
AK,Galena city,86.4,63333
AK,Gambell city,72.4,29417
AK,Game Creek CDP,100, 
AK,Gateway CDP,96.1,92739
AK,Glacier View CDP,90.2,43000
AK,Glennallen CDP,94.4, 
AK,Goldstream CDP,97.3,88371
AK,Golovin city,90.4,40000
AK,Goodnews Bay city,58.6,30313
AK,Grayling city,70.4,20417
AK,Gulkana CDP,91.2, 
AK,Gustavus city,95.6,57639
AK,Haines CDP,95.4,69735
AK,Halibut Cove CDP,100, 
AK,Happy Valley CDP,91.4,41625
AK,Harding-Birch Lakes CDP,94.5,51042
AK,Healy CDP,93.6,88462
AK,Healy Lake CDP,-, 
AK,Hobart Bay CDP,-, 
AK,Hollis CDP,89.5,103571
AK,Holy Cross city,86.1,36094
AK,Homer city,95.9,55849
AK,Hoonah city,87.7,57708
AK,Hooper Bay city,75,35938
AK,Hope CDP,100, 
AK,Houston city,90.2,50438
AK,Hughes city,92.6,32500
AK,Huslia city,93.1,42000
AK,Hydaburg city,90.1,31250
AK,Hyder CDP,53.8, 
AK,Igiugig CDP,90.3,51250
AK,Iliamna CDP,88.7,68750
AK,Ivanof Bay CDP,-, 
AK,Juneau city and borough,94.8,85746
AK,Kachemak city,92.6,70625
AK,Kake city,85.7,40417
AK,Kaktovik city,76.5,48125
AK,Kalifornsky CDP,96.3,72335
AK,Kaltag city,86.4,28750
AK,Karluk CDP,85,20938
AK,Kasaan city,90.2,49286
AK,Kasigluk CDP,68.1,43750
AK,Kasilof CDP,100,65893
AK,Kenai city,89.7,62236
AK,Kenny Lake CDP,100, 
AK,Ketchikan city,89.9,53111
AK,Kiana city,76.1,41250
AK,King Cove city,87.3,63667
AK,King Salmon CDP,93.2,81563
AK,Kipnuk CDP,76.4,34583
AK,Kivalina city,64.6,52917
AK,Klawock city,86.2,38125
AK,Klukwan CDP,86.5,50000
AK,Knik-Fairview CDP,91.2,82858
AK,Knik River CDP,93,68250
AK,Kobuk city,72.1,43333
AK,Kodiak city,87.1,62934
AK,Kodiak Station CDP,97.2,61923
AK,Kokhanok CDP,84.5,32083
AK,Koliganek CDP,77.3,40000
AK,Kongiganak CDP,79.4,37679
AK,Kotlik city,74.2,39583
AK,Kotzebue city,82.9,87708
AK,Koyuk city,82.4,33182
AK,Koyukuk city,82.4,17083
AK,Kupreanof city,100,52083
AK,Kwethluk city,75.9,44063
AK,Kwigillingok CDP,78.8,42188
AK,Lake Louise CDP,73.3, 
AK,Lake Minchumina CDP,88.2,82813
AK,Lakes CDP,95.1,83574
AK,Larsen Bay city,78.7,47917
AK,Lazy Mountain CDP,97.1,82109
AK,Levelock CDP,88.6,37813
AK,Lime Village CDP,28.6, 
AK,Livengood CDP,100, 
AK,Loring CDP,-, 
AK,Lowell Point CDP,100, 
AK,Lower Kalskag city,78.5,30536
AK,Lutak CDP,100, 
AK,McCarthy CDP,74.4, 
AK,McGrath city,93.7,64792
AK,McKinley Park CDP,97.1,78750
AK,Manley Hot Springs CDP,86.7,54375
AK,Manokotak city,87.5,36667
AK,Marshall city,86,36875
AK,Meadow Lakes CDP,90.4,65850
AK,Mekoryuk city,80.2,24750
AK,Mendeltna CDP,100, 
AK,Mentasta Lake CDP,70.1,21250
AK,Mertarvik CDP,-, 
AK,Metlakatla CDP,91,49924
AK,Minto CDP,77.6,32250
AK,Moose Creek CDP,85.6,51369
AK,Moose Pass CDP,94.1,102750
AK,Mosquito Lake CDP,89.6,31736
AK,Mountain Village city,77.8,39205
AK,Mud Bay CDP,95.4,119423
AK,Nabesna CDP,-, 
AK,Naknek CDP,93.6,79750
AK,Nanwalek CDP,98,33542
AK,Napakiak city,72.6,24167
AK,Napaskiak city,76,30625
AK,Naukati Bay CDP,70.4, 
AK,Nelchina CDP,82.7,41964
AK,Nelson Lagoon CDP,57.5,74375
AK,Nenana city,78.9,43250
AK,New Allakaket CDP,72.2,26250
AK,Newhalen city,92.8,56250
AK,New Stuyahok city,75.9,42813
AK,Newtok CDP,72.6,38125
AK,Nightmute city,66.4,39375
AK,Nikiski CDP,91.9,70909
AK,Nikolaevsk CDP,84.8,23125
AK,Nikolai city,76.3,36875
AK,Nikolski CDP,92.3,35000
AK,Ninilchik CDP,94.5,49659
AK,Noatak CDP,84.9,51250
AK,Nome city,92.6,76389
