Geographic Area,City,percent_completed_hs,Median Income
MI,Berrien Springs village,92.4,32450
MI,Bessemer city,94.7,36020
MI,Beulah village,95.9,43472
MI,Beverly Hills village,99.2,106161
MI,Big Bay CDP,97.3,45833
MI,Big Rapids city,88.4,24956
MI,Bingham Farms village,99.6,102083
MI,Birch Run village,91.1,45000
MI,Birmingham city,98.9,108135
MI,Blissfield village,96.3,46350
MI,Bloomfield Hills city,97,172768
MI,Bloomingdale village,85.5,37794
MI,Boon CDP,89.6,45625
MI,Boyne City city,93,43226
MI,Boyne Falls village,86.8,40938
MI,Breckenridge village,91.8,30580
MI,Breedsville village,71.8,37743
MI,Brethren CDP,83.3,40000
MI,Bridgeport CDP,84.2,37095
MI,Bridgman city,93.1,42903
MI,Brighton city,93.8,60910
MI,Britton village,93.8,51250
MI,Bronson city,83.7,39194
MI,Brooklyn village,92.6,37500
MI,Brown City city,91.8,36319
MI,Brownlee Park CDP,77.8,26875
MI,Brutus CDP,87.5,22321
MI,Buchanan city,92.7,41339
MI,Buckley village,91.4,39076
MI,Buena Vista CDP,80.4,21632
MI,Burlington village,94.5,41667
MI,Burr Oak village,78.5,43068
MI,Burt CDP,87.1,47321
MI,Burton city,89.4,43957
MI,Byron village,92.3,49375
MI,Byron Center CDP,89.4,65149
MI,Caberfae CDP,94.7,46250
MI,Cadillac city,90.3,37288
MI,Caledonia village,95.7,60556
MI,Calumet village,91.4,15958
MI,Camden village,80.8,31136
MI,Canada Creek Ranch CDP,97.2,52344
MI,Canadian Lakes CDP,96.2,55179
MI,Capac village,84.8,47054
MI,Carleton village,88.4,45588
MI,Carney village,84.2,38750
MI,Caro city,88,34388
MI,Carp Lake CDP,84.2,49583
MI,Carson City city,91.8,24609
MI,Carsonville village,76.8,24922
MI,Caseville city,84.8,31786
MI,Casnovia village,79.8,43393
MI,Caspian city,88.6,24153
MI,Cass City village,89.9,43464
MI,Cassopolis village,82.6,25673
MI,Cedar CDP,79.3,(X)
MI,Cedar Springs city,89.5,39450
MI,Cement City village,73.3,41964
MI,Center Line city,84.1,33817
MI,Central Lake village,92.3,39000
MI,Centreville village,88.8,42885
MI,Charlevoix city,93,32060
MI,Charlotte city,90.7,43079
MI,Chatham village,96,32188
MI,Cheboygan city,83.5,24389
MI,Chelsea city,93,59292
MI,Chesaning village,87.3,32473
MI,Chums Corner CDP,100,59205
MI,Clare city,88.9,27880
MI,Clarksville village,92.7,44205
MI,Clawson city,93.7,56395
MI,Clayton village,79.3,35000
MI,Clifford village,85.2,43125
MI,Climax village,94.8,57386
MI,Clinton village,96.2,53281
MI,Clio city,86.7,33307
MI,Coldwater city,86.6,35560
MI,Coleman city,89.2,28021
MI,Coloma city,91.6,45478
MI,Colon village,83.5,42308
MI,Columbiaville village,89.6,37396
MI,Comstock Northwest CDP,96.2,49000
MI,Comstock Park CDP,83.7,38816
MI,Concord village,92.5,44130
MI,Constantine village,89.4,36016
MI,Conway CDP,84.7,(X)
MI,Coopersville city,91.3,48919
MI,Copemish village,87.2,24063
MI,Copper City village,81.8,36250
MI,Copper Harbor CDP,100,34063
MI,Corunna city,88.1,34566
MI,Cross Village CDP,98.6,36250
MI,Croswell city,85.5,35938
MI,Crystal Downs Country Club CDP,100,(X)
MI,Crystal Falls city,91.7,34609
MI,Crystal Mountain CDP,100,120000
MI,Custer village,88.5,38750
MI,Cutlerville CDP,88.2,45072
MI,Daggett village,92.1,47000
MI,Dansville village,93.1,57083
MI,Davison city,93.6,34219
MI,Dearborn city,81,47375
MI,Dearborn Heights city,85.8,44620
MI,Decatur village,81.9,34333
MI,Deckerville village,87.4,32333
MI,Deerfield village,87.2,56875
MI,Delton CDP,87.1,63487
MI,De Tour Village village,85.2,28917
MI,Detroit city,78.3,25764
MI,Detroit Beach CDP,91.1,51719
MI,DeWitt city,97.6,76827
MI,Dexter village,95.7,70852
MI,Dimondale village,94.1,71250
MI,Dollar Bay CDP,96.2,42000
MI,Douglas city,89.6,47431
MI,Dowagiac city,86.2,28142
MI,Dowling CDP,89.8,47375
MI,Dryden village,93.5,43194
MI,Dundee village,89.8,44212
MI,Durand city,82.9,38621
MI,Eagle village,91.1,58438
MI,Eagle Harbor CDP,96,58750
MI,Eagle River CDP,93.5,42500
MI,East Grand Rapids city,98,112000
MI,East Jordan city,83.1,32917
MI,Eastlake village,89.9,34545
MI,East Lansing city,96.7,32981
MI,Eastpointe city,86.9,41759
MI,Eastport CDP,100,56667
MI,East Tawas city,91.6,38042
MI,Eastwood CDP,90,41607
MI,Eaton Rapids city,90.9,39450
MI,Eau Claire village,81.8,41346
MI,Ecorse city,74.4,28131
MI,Edgemont Park CDP,96.8,55500
MI,Edmore village,89.1,22006
MI,Edwardsburg village,85.1,30333
MI,Elberta village,88.5,45179
MI,Elk Rapids village,94.9,41902
MI,Elkton village,89.6,33125
MI,Ellsworth village,82.6,48750
MI,Elsie village,88.1,41250
MI,Emmett village,88.6,45625
MI,Empire village,97.3,49875
MI,Escanaba city,90.1,28767
MI,Essexville city,92.6,53015
MI,Estral Beach village,84.8,49583
MI,Evart city,85.6,19211
MI,Fairgrove village,91.2,36563
MI,Fair Plain CDP,85.6,36022
MI,Farmington city,97.4,62261
MI,Farmington Hills city,94.6,71609
MI,Farwell village,81.1,22917
MI,Fennville city,73.8,31420
MI,Fenton city,89.4,44321
MI,Ferndale city,94.4,51312
MI,Ferrysburg city,92.9,65221
MI,Fife Lake village,91.3,33750
MI,Filer City CDP,80.6,34000
MI,Flat Rock city,91.6,56700
MI,Flint city,82.9,24862
MI,Flushing city,94.8,52415
MI,Forest Hills CDP,97.4,117740
MI,Forestville village,90.2,41875
MI,Fostoria CDP,85.1,45185
MI,Fountain village,86,38750
MI,Fowler village,94.1,54844
MI,Fowlerville village,95.3,42325
MI,Frankenmuth city,93.4,47199
MI,Frankfort city,86,38056
MI,Franklin village,97.5,143289
MI,Fraser city,90.4,50927
MI,Freeland CDP,90,75653
MI,Freeport village,92.7,55368
MI,Free Soil village,73.4,31875
MI,Fremont city,92.1,50161
MI,Fruitport village,93.3,44700
MI,Gaastra city,88.8,31083
MI,Gagetown village,77.6,31094
MI,Gaines village,94.9,37917
MI,Galesburg city,85.3,32700
MI,Galien village,81.3,45625
MI,Garden village,82.2,38571
MI,Garden City city,88.1,49862
MI,Gaylord city,88.7,33036
MI,Gibraltar city,89,66477
MI,Gladstone city,93.2,44155
MI,Gladwin city,86.3,24821
MI,Glen Arbor CDP,100,61875
MI,Gobles city,89.9,39688
MI,Goodrich village,95.6,67788
MI,Grand Beach village,99.2,83750
MI,Grand Blanc city,95,46743
MI,Grand Haven city,92.8,45859
MI,Grand Ledge city,95.9,50685
MI,Grand Rapids city,85.1,40355
MI,Grandville city,92.5,53572
MI,Grant city,84.2,29107
MI,Grass Lake village,96,55208
MI,Grawn CDP,67.9,30208
MI,Grayling city,78.7,30221
MI,Greenville city,84.7,31600
MI,Greilickville CDP,96.6,45605
MI,Grosse Pointe city,98.6,98578
MI,Grosse Pointe Farms city,98.9,115918
MI,Grosse Pointe Park city,96.3,95179
MI,Grosse Pointe Woods city,97.4,92014
MI,Gwinn CDP,96.1,43348
MI,Hamtramck city,69.3,23759
MI,Hancock city,91.4,33192
MI,Hanover village,91,50750
MI,Harbor Beach city,87.8,31205
MI,Harbor Springs city,96.6,45000
MI,Hardwood Acres CDP,90.5,51476
MI,Haring CDP,93.1,38690
MI,Harper Woods city,86.9,48820
MI,Harrietta village,72.1,27917
MI,Harrison city,81.7,28212
MI,Harrisville city,83.4,26389
MI,Hart city,79,26578
MI,Hartford city,79.9,33608
MI,Harvey CDP,92.9,42610
MI,Haslett CDP,95.8,58916
MI,Hastings city,86.6,43449
MI,Hazel Park city,82.3,34238
MI,Hemlock CDP,94.5,58646
MI,Henderson CDP,87,45313
MI,Hersey village,89.3,42500
MI,Hesperia village,85.3,32368
MI,Hickory Corners CDP,100,48553
MI,Highland Park city,73.9,17250
MI,Hillman village,77.2,25446
MI,Hillsdale city,87.3,30108
MI,Holland city,85.6,46424
MI,Holly village,89.4,53396
MI,Holt CDP,94.9,59813
MI,Homer village,88.6,36510
MI,Honor village,92,37500
MI,Hopkins village,94.7,49821
MI,Horton Bay CDP,92.7,65096
MI,Houghton city,94.1,29643
MI,Houghton Lake CDP,84,28750
MI,Howard City village,85.2,37939
MI,Howell city,90.8,41452
MI,Hubbard Lake CDP,91.7,52688
MI,Hubbardston village,88.6,50000
MI,Hubbell CDP,92,40125
MI,Hudson city,91.9,49323
MI,Hudsonville city,89.2,54825
MI,Huntington Woods city,98.9,115025
MI,Imlay City city,72.1,35958
MI,Indian River CDP,88.3,47981
MI,Inkster city,83.6,30210
MI,Interlochen CDP,92,(X)
MI,Ionia city,81.1,34653
MI,Iron Mountain city,91.5,37642
MI,Iron River city,89.7,26250
MI,Ironton CDP,97.7,43333
MI,Ironwood city,90.6,26611
MI,Ishpeming city,93.1,34971
MI,Ithaca city,89.2,39363
MI,Jackson city,84.3,28087
MI,Jasper CDP,79.4,30000
MI,Jenison CDP,93.3,56725
MI,Jennings CDP,77.4,(X)
MI,Jonesville city,91.8,44070
MI,Kalamazoo city,90.2,33009
MI,Kaleva village,89.5,34732
MI,Kalkaska village,86.7,26732
MI,Keego Harbor city,89.9,42616
MI,Kent City village,76.6,39750
MI,Kentwood city,89.6,49612
MI,Kinde village,84.2,33684
MI,Kingsford city,94,38886
MI,Kingsley village,90.6,40268
MI,Kingston village,85.8,34167
MI,K. I. Sawyer CDP,92.6,28695
MI,Laingsburg city,92.7,49868
MI,Lake Angelus city,99.2,151250
MI,Lake Ann village,91.2,40750
MI,Lake City city,90.2,32614
MI,Lake Fenton CDP,97,65195
MI,Lake Isabella village,94.5,63947
MI,Lake Leelanau CDP,100,36667
MI,Lake Linden village,92.7,35375
MI,Lake Michigan Beach CDP,87.3,35625
MI,Lake Odessa village,86.7,38710
MI,Lake Orion village,95,69813
MI,Lakes of the North CDP,89.3,42442
MI,Lake Victoria CDP,94,64167
MI,Lakeview village,82.2,27986
MI,Lakewood Club village,89.2,49375
MI,Lambertville CDP,95.1,66237
MI,L'Anse village,89.5,38911
MI,Lansing city,87.6,35563
MI,Lapeer city,89.6,32910
MI,Lathrup Village city,94.7,100074
MI,Laurium village,89.6,36450
MI,Lawrence village,84.1,25700
MI,Lawton village,87.2,42277
MI,Leland CDP,90,96827
MI,Lennon village,89.3,52083
MI,Leonard village,89.3,49688
MI,Le Roy village,96.3,42750
MI,Leslie city,89.6,45288
MI,Level Park-Oak Park CDP,90.2,48363
MI,Levering CDP,87.6,34327
MI,Lewiston CDP,79.7,28148
MI,Lexington village,92.4,28802
MI,Lincoln village,86.2,24375
MI,Lincoln Park city,79.9,41090
MI,Linden city,96.5,58011
MI,Litchfield city,89.3,36750
MI,Livonia city,94,70125
MI,Loomis CDP,86.4,44583
MI,Lost Lake Woods CDP,98.7,37143
MI,Lowell city,87.3,58979
MI,Ludington city,92.4,33777
MI,Luna Pier city,86.7,48462
MI,Lupton CDP,81,29844
MI,Luther village,72.3,27500
MI,Lyons village,90.4,41250
MI,McBain city,83.9,32596
MI,McBride village,90.2,49583
MI,Mackinac Island city,93.3,48906
MI,Mackinaw City village,91.5,31989
MI,Madison Heights city,83.2,41206
MI,Mancelona village,81.8,30764
MI,Manchester village,95,46739
MI,Manistee city,92.2,36338
MI,Manistee Lake CDP,82.7,36316
MI,Manistique city,81.1,25821
MI,Manitou Beach-Devils Lake CDP,95.1,53632
MI,Manton city,89.5,34667
MI,Maple City CDP,97.8,45096
MI,Maple Grove CDP,100,-
MI,Maple Rapids village,90.6,45875
MI,Marcellus village,89.8,43750
MI,Marenisco CDP,92.4,34821
MI,Marine City city,91.7,40240
MI,Marion village,87.2,24821
MI,Marlette city,90.8,30172
MI,Marquette city,93.8,36250
MI,Marshall city,93.7,44635
MI,Martin village,91.8,40938
MI,Marysville city,92.4,53611
MI,Mason city,91.4,51655
MI,Mattawan village,91.1,37275
MI,Maybee village,89.3,59688
MI,Mayville village,83.5,35568
MI,Mecosta village,80.1,27857
MI,Melvin village,78.3,40278
MI,Melvindale city,77.3,33081
MI,Memphis city,92.1,45234
MI,Mendon village,86.4,55417
MI,Menominee city,89.4,32247
MI,Merrill village,88,42500
MI,Mesick village,82,27857
MI,Metamora village,93,60769
MI,Michiana village,100,62321
MI,Michigamme CDP,94.9,44063
MI,Michigan Center CDP,83.8,43506
MI,Middletown CDP,85.9,26923
MI,Middleville village,94.2,47639
MI,Midland city,94.9,53722
MI,Milan city,95,65726
MI,Milford village,93.5,77350
MI,Millersburg village,80.6,30682
MI,Millington village,91.8,34722
MI,Minden City village,83.7,46250
MI,Mio CDP,85.8,26935
MI,Monroe city,89.7,44452
MI,Montague city,93.3,46354
MI,Montgomery village,83.5,28250
MI,Montrose city,89.9,39345
MI,Morenci city,88.1,39744
MI,Morley village,81.3,36250
MI,Morrice village,91.6,57917
MI,Mount Clemens city,84.5,35653
MI,Mount Morris city,78.6,20563
MI,Mount Pleasant city,93.2,30833
MI,Muir village,87.3,40521
MI,Mulliken village,91.1,58000
MI,Munising city,88.9,33953
MI,Muskegon city,83.5,27106
MI,Muskegon Heights city,79,20083
MI,Napoleon CDP,87.7,52212
MI,Nashville village,84.1,33462
MI,Negaunee city,96.4,49068
MI,Nessen City CDP,93.2,(X)
MI,Newaygo city,89.7,27961
MI,New Baltimore city,95.1,77997
MI,Newberry village,88,32000
MI,New Buffalo city,88.8,45685
MI,New Era village,97.5,56389
MI,New Haven village,89.4,54855
MI,New Lothrop village,93.9,46953
MI,New Troy CDP,90.8,32031
MI,Niles city,81.2,33651
MI,North Adams village,89.8,43571
MI,North Branch village,91.7,34375
MI,North Muskegon city,94.7,56771
MI,Northport village,97.6,47321
MI,Northview CDP,95.4,52757
MI,Northville city,97.9,95478
MI,Norton Shores city,93.1,50850
MI,Norway city,92,42083
MI,Norwood CDP,100,61000
MI,Novi city,95,82587
MI,Oak Hill CDP,96.4,40000
MI,Oakley village,83.6,38594
MI,Oak Park city,91.7,47463
MI,Oden CDP,83.9,52750
MI,Okemos CDP,97.8,75032
MI,Olivet city,94.5,40000
MI,Omena CDP,100,78438
MI,Omer city,79.3,41750
MI,Onaway city,88.4,27000
MI,Onekama village,93.9,39375
MI,Onsted village,91.5,50000
MI,Ontonagon village,92,31200
MI,Orchard Lake Village city,95.8,148750
MI,Ortonville village,93.6,54100
MI,Oscoda CDP,89.6,32700
MI,Ossineke CDP,84.3,32938
MI,Otisville village,84.1,33871
MI,Otsego city,89.7,37004
MI,Otter Lake village,81.8,52778
MI,Ovid village,89.2,43384
MI,Owendale village,90,39375
MI,Owosso city,90.4,36159
MI,Oxford village,92.4,60219
MI,Palmer CDP,92.4,37500
MI,Parchment city,89.9,39226
MI,Parkdale CDP,83.5,35833
MI,Parma village,87.5,53083
MI,Paw Paw village,83.9,29531
MI,Paw Paw Lake CDP,88,50427
MI,Pearl Beach CDP,93.4,62340
MI,Peck village,82.2,36500
MI,Pellston village,84.2,35170
MI,Pentwater village,95.1,40500
MI,Perrinton village,88,30000
MI,Perry city,87.9,39861
MI,Petersburg city,95.7,51719
MI,Petoskey city,95.7,37556
MI,Pewamo village,89.3,48636
MI,Pierson village,79,38125
MI,Pigeon village,86.7,36917
MI,Pilgrim CDP,100,95568
MI,Pinckney village,94.7,63693
MI,Pinconning city,82.5,29960
MI,Plainwell city,89.6,43750
MI,Pleasant Ridge city,98.5,105438
MI,Plymouth city,96.1,75949
MI,Ponshewaing CDP,100,63750
MI,Pontiac city,78.6,28505
MI,Portage city,95.8,54040
MI,Port Austin village,86.2,30966
MI,Port Hope village,85.6,36250
MI,Port Huron city,87.6,33674
MI,Portland city,93,55290
MI,Port Sanilac village,90.5,37833
MI,Posen village,82.6,28750
MI,Potterville city,90.9,50341
MI,Powers village,76.5,26458
MI,Prescott village,92.1,34583
MI,Presque Isle Harbor CDP,98,55438
MI,Prudenville CDP,91.9,35794
MI,Quincy village,88.9,32857
MI,Quinnesec CDP,92.5,57391
MI,Rapid City CDP,88.5,38125
MI,Ravenna village,93.4,46286
MI,Reading city,86.9,31207
MI,Reed City city,86.3,26852
MI,Reese village,94.1,44423
MI,Republic CDP,92.8,25114
MI,Richland village,96.2,61000
MI,Richmond city,85.7,45096
MI,River Rouge city,72.2,26230
MI,Riverview city,87.2,49796
MI,Robin Glen-Indiantown CDP,88.3,31528
MI,Rochester city,97.4,75043
MI,Rochester Hills city,95.7,82112
MI,Rockford city,95.7,55508
MI,Rockwood city,88.9,51250
MI,Rogers City city,88.7,39063
MI,Romeo village,88.6,50156
MI,Romulus city,86.8,42681
MI,Roosevelt Park city,92.2,41938
MI,Roscommon village,88.6,24464
MI,Rosebush village,84.7,33929
MI,Rose City city,78.6,18750
MI,Roseville city,86.5,40713
MI,Rothbury village,85.3,49583
MI,Royal Oak city,96.1,65786
MI,Saginaw city,78.4,27990
MI,St. Charles village,92.1,36336
MI,St. Clair city,91.7,56449
MI,St. Clair Shores city,91.9,53093
MI,St. Helen CDP,78.8,26841
MI,St. Ignace city,87.6,34555
MI,St. James CDP,89,35750
MI,St. Johns city,89.5,38676
MI,St. Joseph city,95.6,55012
MI,St. Louis city,84.3,34524
MI,Saline city,97.4,65497
MI,Sand Lake CDP,88.1,37778
MI,Sand Lake village,83.5,34464
MI,Sandusky city,84.6,26888
MI,Sanford village,93.5,38424
MI,Saranac village,86.4,31042
MI,Saugatuck city,94.3,60000
MI,Sault Ste. Marie city,88.8,32061
MI,Schoolcraft village,92.6,49205
MI,Scottville city,87.5,35333
MI,Sebewaing village,88.8,45350
MI,Shelby village,71.3,32350
MI,Shepherd village,94,39150
MI,Sheridan village,95.1,40833
MI,Sherwood village,82,40000
MI,Shields CDP,90.5,48966
MI,Shoreham village,96.8,78194
MI,Shorewood-Tower Hills-Harbert CDP,99.2,42338
MI,Skidway Lake CDP,72.4,22384
MI,Snover CDP,82.3,45000
MI,South Boardman CDP,87.5,41833
MI,Southfield city,92.6,49244
MI,Southgate city,88.6,50280
MI,South Gull Lake CDP,99,86061
MI,South Haven city,90.7,40122
MI,South Lyon city,91.5,61523
MI,South Monroe CDP,85.5,38675
MI,South Range village,92,29737
MI,South Rockwood village,82.6,60132
MI,Sparta village,89.7,41406
MI,Spring Arbor CDP,93.6,53664
MI,Springfield city,84.7,35810
MI,Spring Lake village,95.8,50707
MI,Springport village,88.9,39643
MI,Standish city,82.3,25707
MI,Stanton city,83.2,28438
MI,Stanwood village,89.5,43750
MI,Stephenson city,86.4,31719
MI,Sterling village,93.8,39531
MI,Sterling Heights city,86.8,60089
MI,Stevensville village,93.8,51667
MI,Stockbridge village,91,45536
MI,Stony Point CDP,94.6,66023
MI,Stronach CDP,96.4,33906
MI,Sturgis city,81.1,36293
MI,Sunfield village,86.8,45455
MI,Suttons Bay village,96.5,58500
MI,Swartz Creek city,88.2,44046
MI,Sylvan Lake city,97.2,65489
MI,Tawas City city,90.5,39531
MI,Taylor city,82.9,40545
MI,Tecumseh city,92.5,48658
MI,Tekonsha village,89.5,33375
MI,Temperance CDP,92.9,61371
MI,Thompsonville village,78.4,29688
MI,Three Oaks village,91.9,39224
MI,Three Rivers city,86.5,35430
MI,Traverse City city,94.8,47284
MI,Trenton city,91.7,55218
MI,Trowbridge Park CDP,92.5,57616
MI,Troy city,93.9,85027
MI,Turner village,72.3,17083
MI,Tustin village,94.9,46875
MI,Twining village,70.5,22500
MI,Twin Lake CDP,98.1,61802
MI,Ubly village,92.7,36667
MI,Union City village,90.6,34952
MI,Unionville village,92.3,41154
MI,Utica city,91.1,48555
MI,Vandalia village,65.7,36094
MI,Vanderbilt village,76.3,30000
MI,Vandercook Lake CDP,90.4,44458
MI,Vassar city,87.1,38029
MI,Vermontville village,91.1,40208
MI,Vernon village,93.4,48843
MI,Vicksburg village,93.3,55949
MI,Village of Clarkston city,98,69000
MI,Village of Grosse Pointe Shores city,99.7,139074
MI,Vineyard Lake CDP,95.4,36333
MI,Wacousta CDP,99.2,81214
MI,Wakefield city,94.4,38942
MI,Waldron village,88.7,36071
MI,Walker city,94,50903
MI,Walkerville village,81,37250
MI,Walled Lake city,91.4,50479
MI,Walloon Lake CDP,93.8,62212
MI,Warren city,84.1,43523
MI,Watersmeet CDP,92.7,31836
MI,Watervliet city,80.6,42500
MI,Waverly CDP,95.6,52767
MI,Wayland city,84,41923
MI,Wayne city,83.4,39352
MI,Webberville village,89.5,50515
MI,Wedgewood CDP,97.4,85250
MI,Weidman CDP,94.4,29038
MI,Wellston CDP,71.9,32143
MI,West Branch city,86.3,27292
MI,West Ishpeming CDP,96.2,59236
MI,Westland city,87.9,44641
MI,West Monroe CDP,78.8,33892
MI,Westphalia village,92.1,54327
MI,Westwood CDP,97,44738
MI,White Cloud city,79.9,26071
MI,Whitehall city,90.7,42772
MI,White Pigeon village,81.2,41375
MI,White Pine CDP,89.8,37188
MI,Whitmore Lake CDP,94.4,50890
MI,Whittemore city,81.3,27885
MI,Williamston city,91.6,51510
MI,Wixom city,94.2,46420
MI,Wolf Lake CDP,82.6,34863
MI,Wolverine village,91.8,31429
MI,Wolverine Lake village,91.4,76125
MI,Woodhaven city,95.2,55266
MI,Woodland village,87.8,40500
MI,Woodland Beach CDP,94.1,47500
MI,Wyandotte city,89.2,51237
MI,Wyoming city,84,46849
MI,Yale city,82.1,33816
MI,Ypsilanti city,90.1,31061
MI,Zeba CDP,79.5,27292
MI,Zeeland city,87.5,40733
MI,Zilwaukee city,93.7,48315
MI,Ada city,89.2,38264
MI,Adams city,91,45417
MN,Adrian city,92.5,49250
MN,Afton city,97.5,99663
MN,Aitkin city,85.5,28281
MN,Akeley city,93.2,42969
MN,Albany city,81.6,48843
MN,Alberta city,96.4,66667
MN,Albert Lea city,86.5,40127
MN,Albertville city,96.9,96315
MN,Alden city,91.6,49911
MN,Aldrich city,86.4,(X)
MN,Alexandria city,92.6,40633
MN,Alpha city,98.6,158036
MN,Altura city,94.5,63125
MN,Alvarado city,83.5,45625
MN,Amboy city,90.8,42344
MN,Andover city,95.8,93932
MN,Angle Inlet CDP,100,-
MN,Annandale city,88.3,46962
MN,Anoka city,89.7,45820
MN,Appleton city,87.2,32311
MN,Apple Valley city,95.5,80478
MN,Arco city,85.1,30000
MN,Arden Hills city,96.5,80208
MN,Argyle city,86.6,48750
MN,Arlington city,81.5,42500
MN,Arnold CDP,95.7,68458
MN,Ashby city,96.4,42917
MN,Askov city,91.1,40625
MN,Atwater city,89.7,46905
MN,Audubon city,94.4,55588
MN,Aurora city,89.4,41530
MN,Austin city,85.4,42268
MN,Avoca city,84.8,43750
MN,Avon city,93.2,65962
MN,Babbitt city,86.7,40833
MN,Backus city,73.8,38182
MN,Badger city,88.3,46786
MN,Bagley city,83,31507
MN,Baker CDP,100,41500
MN,Balaton city,94.2,45250
MN,Ball Club CDP,73.7,24625
MN,Barnesville city,90.4,57163
MN,Barnum city,87.2,51818
MN,Barrett city,81.9,39028
MN,Barry city,100,-
MN,Battle Lake city,96.1,36786
MN,Baudette city,91,34130
MN,Baxter city,95.4,57715
MN,Bayport city,91.3,64013
MN,Beardsley city,88.2,33125
MN,Beaulieu CDP,88.9,32500
MN,Beaver Bay city,95,42000
MN,Beaver Creek city,90.7,61250
MN,Becker city,90.9,69730
MN,Bejou city,79,35417
MN,Belgrade city,90.7,36607
MN,Bellechester city,93.8,58750
MN,Belle Plaine city,93.9,71964
MN,Bellingham city,92.5,35000
MN,Beltrami city,96.9,56250
MN,Belview city,83.7,40357
MN,Bemidji city,91.3,35610
MN,Bena city,83.1,32500
MN,Benson city,85.3,46816
MN,Bertha city,91.5,32813
MN,Bethel city,89.8,53438
MN,Bigelow city,69.3,54107
MN,Big Falls city,82,28958
MN,Bigfork city,83.6,27083
MN,Big Lake CDP,92.7,58250
MN,Big Lake city,91,62324
MN,Bingham Lake city,78.5,34167
MN,Birchwood Village city,96.4,95809
MN,Bird Island city,87.8,41528
MN,Biscay city,86,46250
MN,Biwabik city,94.9,31121
MN,Blackduck city,92.3,29063
MN,Blaine city,94.5,76027
MN,Blomkest city,85.2,55833
MN,Blooming Prairie city,90,53056
MN,Bloomington city,93.1,64540
MN,Blue Earth city,91.5,42883
MN,Bluffton city,92.4,40625
MN,Bock city,71,31250
MN,Borup city,97.1,59688
MN,Bovey city,89.7,33625
MN,Bowlus city,85.5,38750
MN,Boyd city,75.3,30000
MN,Boy River city,92,13438
MN,Braham city,86.3,39868
MN,Brainerd city,91.6,30975
MN,Brandon city,91.4,53000
MN,Breckenridge city,88.8,42935
MN,Breezy Point city,97.4,60385
MN,Brewster city,86.1,45481
MN,Bricelyn city,86.7,34375
MN,Brooklyn Center city,82.1,44855
MN,Brooklyn Park city,90.2,62974
MN,Brook Park city,95.3,(X)
MN,Brooks city,65.3,27250
MN,Brookston city,64.2,46250
MN,Brooten city,88.6,37411
MN,Browerville city,89.2,47500
MN,Brownsdale city,91.9,51838
MN,Browns Valley city,89.2,33375
MN,Brownsville city,95.5,61406
MN,Brownton city,88.8,48125
MN,Bruno city,93.4,17292
MN,Buckman city,94.8,37292
MN,Buffalo city,93.2,63830
MN,Buffalo Lake city,80.1,42031
MN,Buhl city,93,41125
MN,Burnsville city,93.9,63649
MN,Burtrum city,83.3,42500
MN,Butterfield city,68.7,42353
MN,Byron city,98.2,78625
MN,Caledonia city,91.6,44493
MN,Callaway city,82.9,47000
MN,Calumet city,92,32589
MN,Cambridge city,85.9,43630
MN,Campbell city,96.8,52500
MN,Canby city,84.2,40066
MN,Cannon Falls city,93.3,43092
MN,Canton city,82.3,33365
MN,Carlos city,93.9,56736
MN,Carlton city,89.8,43438
MN,Carver city,97,113571
MN,Cass Lake city,86.6,33977
MN,Cedar Mills city,76.9,58750
MN,Center City city,96.6,75625
MN,Centerville city,95.1,88036
MN,Ceylon city,89.3,35000
MN,Champlin city,96.3,83851
MN,Chandler city,68.1,47727
MN,Chanhassen city,96.2,110569
MN,Chaska city,93.7,75828
MN,Chatfield city,91.6,61786
MN,Chickamaw Beach city,94.4,50500
MN,Chisago City city,92,71875
MN,Chisholm city,94.6,39057
MN,Chokio city,92.9,38500
MN,Circle Pines city,94,70398
MN,Clara City city,88.4,54408
MN,Claremont city,82.5,43250
MN,Clarissa city,83.9,34750
MN,Clarkfield city,88.7,41063
MN,Clarks Grove city,84.9,48750
MN,Clearbrook city,90,29762
MN,Clear Lake city,94.1,77222
MN,Clearwater city,94.6,68393
MN,Clements city,66.7,65536
MN,Cleveland city,94.4,58438
MN,Climax city,93.3,40417
MN,Clinton city,86.4,31429
MN,Clitherall city,59.4,16071
MN,Clontarf city,90,47500
MN,Cloquet city,94.3,46064
MN,Coates city,91.3,68750
MN,Cobden city,63.2,26250
MN,Cohasset city,94.3,60597
MN,Cokato city,93.7,51893
MN,Cold Spring city,90.3,54274
MN,Coleraine city,93.9,47283
MN,Cologne city,93,79167
MN,Columbia Heights city,86.2,47717
MN,Columbus city,94.7,79223
MN,Comfrey city,90.6,53611
MN,Comstock city,92.1,55625
MN,Conger city,96.3,60625
MN,Cook city,91.4,37917
MN,Coon Rapids city,93.2,64203
MN,Corcoran city,92.5,97778
MN,Correll city,88.9,(X)
MN,Cosmos city,90.5,29423
MN,Cottage Grove city,95.3,83181
MN,Cottonwood city,92.4,49934
MN,Courtland city,95.6,70208
MN,Cromwell city,87.2,28125
MN,Crookston city,88.7,50615
MN,Crosby city,84.5,29906
MN,Crosslake city,98.8,64012
MN,Crystal city,92.2,59188
MN,Currie city,84.4,40536
MN,Cuyuna city,88,31974
MN,Cyrus city,90.2,41250
MN,Dakota city,88.5,67500
MN,Dalton city,83.1,32143
MN,Danube city,88.5,49904
MN,Danvers city,98.8,54375
